对象,样本数,RMSE_mm,MAE_mm,Bias_mm,R2,起始样本序号,终止样本序号
第1折,1997,2.678829152497458,1.2684421472371812,0.02494044440763421,0.9806986945572885,1.0,1997.0
第2折,1996,2.7891524861737653,1.3575671505572648,0.08798656646893517,0.9789912496319956,1998.0,3993.0
第3折,1996,2.6367286973229374,1.2370399660194076,0.025830423316664554,0.9813047634957685,3994.0,5989.0
第4折,1996,2.6220721475971422,1.2555923973945067,0.04152316525678573,0.9814267690382703,5990.0,7985.0
第5折,1996,2.6804815842926395,1.3094927269047154,0.03844621034693372,0.9830005796346387,7986.0,9981.0
5折汇总,9981,2.6820913687590116,1.2856251558782623,0.04374347788789967,0.9992206042305248,,
