变量,标准化系数或重要性_绝对值,置换重要性_RMSE增量,变量剔除_RMSE增量,标准化系数或重要性_绝对值_归一化贡献,置换重要性_RMSE增量_归一化贡献,变量剔除_RMSE增量_归一化贡献
a_建模值,5.18965751476417,4.293543294761971,2.798238049158104,0.26733532505673774,0.27137306821009616,0.290487632677705
b_建模值,6.158120848999064,5.4964861724616485,3.2966449441354637,0.31722386963345683,0.34740497873050513,0.34222770499777744
c_建模值,2.579383399104836,1.3813054812505596,0.7915236291285783,0.13287202430678696,0.08730530493070736,0.08216878664172407
d_建模值,5.485377577612826,4.6502177320516696,2.7464924561514996,0.2825687810030184,0.2939166481286914,0.2851158756827935
