模型,训练RMSE_mm,训练MAE_mm,训练R2,时间分块CV_RMSE_mm,时间分块CV_MAE_mm,时间分块CV_R2,阶段1_CV_RMSE_mm,阶段2_CV_RMSE_mm,阶段3_CV_RMSE_mm,相对基准CV_RMSE改善率
仅阶段趋势基准模型,60.555455593800914,46.65916409292395,0.9961469246002007,186.36118561203767,120.90452364025928,0.9635068052079732,143.8683711798259,235.50932974446053,19.018783436466148,
阶段趋势+最优五变量模型,57.521364995966834,44.49078705086688,0.9965233632014735,192.1789605385075,126.24717163717933,0.9611927707755421,160.81411049309114,233.39402606840918,41.739716944816095,-0.031217739398702607
