剔除变量,纳入变量,训练RMSE_mm,训练MAE_mm,训练R2,时间分块CV_RMSE_mm,时间分块CV_MAE_mm,时间分块CV_R2,阶段1_CV_RMSE_mm,阶段2_CV_RMSE_mm,阶段3_CV_RMSE_mm,阶段CV_RMSE最大值_mm,排序
干湿入渗系数,降雨量、孔隙水压力、微震事件数、爆破点距离、单段最大药量,57.521364995966834,44.49078705086688,0.9965233632014735,192.1789605385075,126.24717163717933,0.9611927707755421,160.81411049309114,233.39402606840918,41.739716944816095,233.39402606840918,1
微震事件数,降雨量、孔隙水压力、干湿入渗系数、爆破点距离、单段最大药量,59.27780195029698,46.552292134193564,0.9963078006740868,202.07691082764632,129.01168334064164,0.9570923880631665,157.65822950349775,254.1664726526806,25.25895635272664,254.1664726526806,2
单段最大药量,降雨量、孔隙水压力、微震事件数、干湿入渗系数、爆破点距离,57.406227242847905,44.4072564876837,0.9965372673056838,206.42346485312805,131.89922063885467,0.955226702297135,160.57275507488077,259.57452538130417,45.25708776942677,259.57452538130417,3
爆破点距离,降雨量、孔隙水压力、微震事件数、干湿入渗系数、单段最大药量,57.41024344982438,44.432168489687776,0.9965367827750553,206.6047185198963,132.0050206090931,0.9551480398515874,160.57311330650384,259.8820170837232,45.98812296692293,259.8820170837232,4
降雨量,孔隙水压力、微震事件数、干湿入渗系数、爆破点距离、单段最大药量,57.52986228914082,44.47335121990499,0.9965223359593637,206.73671681758816,131.6211276090544,0.9550907103416377,159.7575122280126,260.81059074323326,40.667318644931036,260.81059074323326,5
孔隙水压力,降雨量、微震事件数、干湿入渗系数、爆破点距离、单段最大药量,58.35643196927167,44.131092934178916,0.996421686255378,233.98233399010059,142.25776687982108,0.9424736136905274,149.8532258123731,313.16737257667313,75.23979081442482,313.16737257667313,6
